Binaural Audition LSTM Project Test Scene Parameters
====================================================

sceneId   nSrcs  SNRs (wrt Src#1)     azimuths
--------------------------------------------------
1         1      0                    0
2         1      0                    45
3         1      0                    90
4         2      [0,0]                [0,0]
5         3      [0,0,0]              [0,0,0]
6         4      [0,0,0,0]            [0,0,0,0]
7         2      [0,0]                [-10,10]
8         3      [0,0,0]              [-10,10,30]
9         4      [0,0,0,0]            [-10,10,30,50]
10        2      [0,0]                [0,20]
11        3      [0,0,0]              [0,20,40]
12        4      [0,0,0,0]            [0,20,40,60]
13        2      [0,0]                [35,55]
14        3      [0,0,0]              [25,45,65]
15        4      [0,0,0,0]            [15,35,55,75]
16        2      [0,0]                [80,100]
17        3      [0,0,0]              [70,90,110]
18        4      [0,0,0,0]            [60,80,100,120]
19        2      [0,0]                [-22.5,22.5]
20        3      [0,0,0]              [-22.5,22.5,67.5]
21        4      [0,0,0,0]            [-22.5,22.5,67.5,112.5]
22        2      [0,0]                [0,45]
23        3      [0,0,0]              [0,45,90]
24        4      [0,0,0,0]            [0,45,90,135]
25        2      [0,0]                [22.5,67.5]
26        2      [0,0]                [67.5,112.5]
27        3      [0,0,0]              [45,90,135]
28        4      [0,0,0,0]            [22.5,65.5,112.5,157.5]
29        2      [0,0]                [-45,45]
30        3      [0,0,0]              [-45,45,135]
31        4      [0,0,0,0]            [-45,45,135,225]
32        2      [0,0]                [0,90]
33        3      [0,0,0]              [0,90,180]
34        4      [0,0,0,0]            [0,90,180,270]
35        4      [0,0,0,0]            [-90,0,90,180]
36        2      [0,0]                [45,135]
37        2      [0,-20]              [0,0]
38        2      [0,-10]              [0,0]
39        2      [0,10]               [0,0]
40        2      [0,20]               [0,0]
41        3      [0,-20,-20]          [0,0,0]
42        3      [0,-10,-10]          [0,0,0]
43        3      [0,10,10]            [0,0,0]
44        3      [0,20,20]            [0,0,0]
45        4      [0,-20,-20,-20]      [0,0,0,0]
46        4      [0,-10,-10,-10]      [0,0,0,0]
47        4      [0,10,10,10]         [0,0,0,0]
48        4      [0,20,20,20]         [0,0,0,0]
49        2      [0,-20]              [-10,10]
50        2      [0,-10]              [-10,10]
51        2      [0,10]               [-10,10]
52        2      [0,20]               [-10,10]
53        3      [0,-20,-20]          [-10,10,30]
54        3      [0,-10,-10]          [-10,10,30]
55        3      [0,10,10]            [-10,10,30]
56        3      [0,20,20]            [-10,10,30]
57        4      [0,-20,-20,-20]      [-10,10,30,50]
58        4      [0,-10,-10,-10]      [-10,10,30,50]
59        4      [0,10,10,10]         [-10,10,30,50]
60        4      [0,20,20,20]         [-10,10,30,50]
61        2      [0,-20]              [0,20]
62        2      [0,-10]              [0,20]
63        2      [0,10]               [0,20]
64        2      [0,20]               [0,20]
65        3      [0,-20,-20]          [0,20,40]
66        3      [0,-10,-10]          [0,20,40]
67        3      [0,10,10]            [0,20,40]
68        3      [0,20,20]            [0,20,40]
69        4      [0,-20,-20,-20]      [0,20,40,60]
70        4      [0,-10,-10,-10]      [0,20,40,60]
71        4      [0,10,10,10]         [0,20,40,60]
72        4      [0,20,20,20]         [0,20,40,60]
73        2      [0,-20]              [35,55]
74        2      [0,-10]              [35,55]
75        2      [0,10]               [35,55]
76        2      [0,20]               [35,55]
77        3      [0,-20,-20]          [25,45,65]
78        3      [0,-10,-10]          [25,45,65]
79        3      [0,10,10]            [25,45,65]
80        3      [0,20,20]            [25,45,65]
81        4      [0,-20,-20,-20]      [15,35,55,75]
82        4      [0,-10,-10,-10]      [15,35,55,75]
83        4      [0,10,10,10]         [15,35,55,75]
84        4      [0,20,20,20]         [15,35,55,75]
85        2      [0,-20]              [80,100]
86        2      [0,-10]              [80,100]
87        2      [0,10]               [80,100]
88        2      [0,20]               [80,100]
89        3      [0,-20,-20]          [70,90,110]
90        3      [0,-10,-10]          [70,90,110]
91        3      [0,10,10]            [70,90,110]
92        3      [0,20,20]            [70,90,110]
93        4      [0,-20,-20,-20]      [60,80,100,120]
94        4      [0,-10,-10,-10]      [60,80,100,120]
95        4      [0,10,10,10]         [60,80,100,120]
96        4      [0,20,20,20]         [60,80,100,120]
97        2      [0,-20]              [-22.5,22.5]
98        2      [0,-10]              [-22.5,22.5]
99        2      [0,10]               [-22.5,22.5]
100       2      [0,20]               [-22.5,22.5]
101       3      [0,-20,-20]          [-22.5,22.5,67.5]
102       3      [0,-10,-10]          [-22.5,22.5,67.5]
103       3      [0,10,10]            [-22.5,22.5,67.5]
104       3      [0,20,20]            [-22.5,22.5,67.5]
105       4      [0,-20,-20,-20]      [-22.5,22.5,67.5,112.5]
