Binaural Audition LSTM Project Train Scene Parameters
=====================================================

sceneId   nSrcs  SNRs (wrt Src#1)     azimuths
--------------------------------------------------

2           1    0                     135  
8           1    0                      90  
17          1    0                    -135  
33          1    0                    -157,5
34          1    0                       0  
44          1    0                     -67,5
68          1    0                      45  
69          1    0                     180
71          1    0                     -90  
76          1    0                    -112,5

79          2   [0 -17]              [-90 67,5]    
37          2   [0 -16]              [-67,5 -112,5]
36          2   [0 -15]              [67,5 22,5]   
64          2   [0 -13]              [-180 -90]    
65          2   [0 -10]              [-157,5 -135] 
15          2   [0 -8]               [90 112,5]    
41          2   [0 -6]               [-157,5 90]   
42          2   [0 -5]               [-67,5 -135]  
19          2   [0 -3]               [-157,5 -90]  
7           2   [0 -2]               [67,5 0]      
25          2   [0 -1]               [67,5 -180]   
31          2   [0 -1]               [0 135]       
1           2   [0 4]                [112,5 -112,5]
12          2   [0 4]                [45 22,5]     
30          2   [0 9]                [22,5 -135]   
57          2   [0 9]                [157,5 135]   
6           2   [0 11]               [157,5 0]     
52          2   [0 13]               [45 -22,5]    
61          2   [0 15]               [-157,5 -135] 
4           2   [0 18]               [-90 -22,5]   
16          2   [0 18]               [0 157,5]     

39          3   [0 -20 12]           [157,5 22,5 90]     
73          3   [0 -5 -19]           [0 67,5 -22,5]      
59          3   [0 -2 -19]           [90 45 -90]         
70          3   [0 -16 -15]          [-90 22,5 157,5]    
40          3   [0 -14 -15]          [-180 -157,5 -67,5] 
13          3   [0 -14 -14]          [135 -180 112,5]    
27          3   [0 -8 -13]           [45 -90 -22,5]      
66          3   [0 2 -14]            [-112,5 -90 -112,5] 
75          3   [0 -14 4]            [90 -112,5 -45]     
3           3   [0 -12 -2]           [-67,5 90 0]        
62          3   [0 -12 12]           [90 135 -45]        
51          3   [0 18 -11]           [45 -180 90]        
11          3   [0 -10 9]            [-67,5 112,5 -112,5]
78          3   [0 -9 19]            [0 90 -112,5]       
46          3   [0 -8 16]            [-180 -157,5 -157,5]
43          3   [0 1 -4]             [-157,5 0 -67,5]    
54          3   [0 0 -3]             [-22,5 90 0]        
20          3   [0 -4 4]             [157,5 67,5 -112,5] 
55          3   [0 12 -4]            [-180 157,5 -112,5] 
23          3   [0 -4 15]            [-112,5 -22,5 -90]  
14          3   [0 10 -3]            [90 -45 112,5]      
28          3   [0 17 -1]            [0 90 -112,5]       
24          3   [0 9 1]              [67,5 67,5 -22,5]   
58          3   [0 3 14]             [-22,5 135 0]       
5           3   [0 6 7]              [0 -90 67,5]        
35          3   [0 15 8]             [157,5 0 -157,5]    
38          3   [0 15 10]            [-135 45 67,5]      
47          3   [0 11 16]            [-135 45 45]        
32          3   [0 14 15]            [-157,5 112,5 157,5]
          
72          4   [0 -18 12 -18]       [-180 112,5 22,5 90]       
60          4   [0 -20 1 -4]         [-180 -67,5 -67,5 45]      
26          4   [0 -20 2 18]         [-157,5 -90 112,5 0]       
67          4   [0 -16 -17 9]        [45 67,5 67,5 -67,5]       
10          4   [0 -19 9 -4]         [135 45 0 -90]             
29          4   [0 -17 11 -2]        [45 -157,5 -45 67,5]       
21          4   [0 -3 -16 4]         [-180 22,5 90 0]           
63          4   [0 19 -16 1]         [45 112,5 -112,5 90]       
18          4   [0 5 5 -16]          [-112,5 -112,5 -67,5 157,5]
48          4   [0 5 -15 10]         [22,5 -135 45 -90]         
45          4   [0 12 -12 -9]        [135 -112,5 -90 45]        
50          4   [0 7 11 -13]         [-67,5 -22,5 -180 22,5]    
49          4   [0 0 2 -8]           [-112,5 90 -135 0]         
22          4   [0 -3 12 -7]         [-22,5 135 0 0]            
53          4   [0 -6 -2 6]          [90 -22,5 -135 157,5]      
80          4   [0 -6 13 -2]         [0 67,5 157,5 -112,5]      
9           4   [0 -1 -3 -1]         [-180 -90 67,5 -135]       
74          4   [0 2 19 -2]          [-180 67,5 -112,5 157,5]   
77          4   [0 8 1 2]            [90 -157,5 0 67,5]         
56          4   [0 6 9 6]            [-90 -45 -90 90]           































































































































          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
